provider,dataset_or_doc_scope,book_symbol_or_family,capability_question,static_source_reference,evidence_status,provider_api_access,provider_login,market_data_download,continuous_contract_download,market_row_parsing,strategy_use_status,blocker
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,MES,condition metadata,Databento portal docs describe condition support files and equivalent metadata dataset-condition endpoint,EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,MES,settlement source,Databento schema docs identify statistics as official daily instrument statistics including settlement fields,EVIDENCE_BLOCKED_SETTLEMENT_CLOSE_UNCLEAR,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,STATISTICS_OR_OFFICIAL_SETTLEMENT_SOURCE_NOT_EXECUTED_OR_POLICY_DECIDED
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,MNQ,continuous availability,Databento standards/conventions and continuous futures example,EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,MNQ,symbol syntax,Databento continuous symbology format [ROOT].[ROLL_RULE].[RANK],EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,MNQ,adjustment policy,"Databento continuous docs state continuous prices are original/unadjusted, not back-adjusted",EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,MNQ,roll rule,Databento continuous docs identify calendar/open-interest/volume roll-rule codes c/n/v,EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,MNQ,lineage,Databento docs say continuous maps to a tradable instrument by date; no local continuous-row-to-dated-row lineage artifact exists,EVIDENCE_BLOCKED_LINEAGE_UNCLEAR,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,CONTINUOUS_ROW_LINEAGE_LEDGER_NOT_CREATED
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,MNQ,ohlcv-1d close/settlement,Databento schema docs describe OHLCV as trade-aggregated bars and statistics as official settlements/open interest,EVIDENCE_BLOCKED_SETTLEMENT_CLOSE_UNCLEAR,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,OHLCV_CLOSE_VERSUS_OFFICIAL_SETTLEMENT_POLICY_NOT_DECIDED
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,MNQ,definition metadata,Databento definition docs identify point-in-time instrument definitions with expiration/listing/tick fields,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,FIRST_NOTICE_DELIVERY_AND_PRODUCT_FAMILY_RULEBOOK_FIELDS_NOT_FULLY_LOCKED
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,MNQ,condition metadata,Databento portal docs describe condition support files and equivalent metadata dataset-condition endpoint,EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,MNQ,settlement source,Databento schema docs identify statistics as official daily instrument statistics including settlement fields,EVIDENCE_BLOCKED_SETTLEMENT_CLOSE_UNCLEAR,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,STATISTICS_OR_OFFICIAL_SETTLEMENT_SOURCE_NOT_EXECUTED_OR_POLICY_DECIDED
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,M2K,continuous availability,Databento standards/conventions and continuous futures example,EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,M2K,symbol syntax,Databento continuous symbology format [ROOT].[ROLL_RULE].[RANK],EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,M2K,adjustment policy,"Databento continuous docs state continuous prices are original/unadjusted, not back-adjusted",EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,M2K,roll rule,Databento continuous docs identify calendar/open-interest/volume roll-rule codes c/n/v,EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,M2K,lineage,Databento docs say continuous maps to a tradable instrument by date; no local continuous-row-to-dated-row lineage artifact exists,EVIDENCE_BLOCKED_LINEAGE_UNCLEAR,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,CONTINUOUS_ROW_LINEAGE_LEDGER_NOT_CREATED
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,M2K,ohlcv-1d close/settlement,Databento schema docs describe OHLCV as trade-aggregated bars and statistics as official settlements/open interest,EVIDENCE_BLOCKED_SETTLEMENT_CLOSE_UNCLEAR,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,OHLCV_CLOSE_VERSUS_OFFICIAL_SETTLEMENT_POLICY_NOT_DECIDED
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,M2K,definition metadata,Databento definition docs identify point-in-time instrument definitions with expiration/listing/tick fields,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,FIRST_NOTICE_DELIVERY_AND_PRODUCT_FAMILY_RULEBOOK_FIELDS_NOT_FULLY_LOCKED
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,M2K,condition metadata,Databento portal docs describe condition support files and equivalent metadata dataset-condition endpoint,EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,M2K,settlement source,Databento schema docs identify statistics as official daily instrument statistics including settlement fields,EVIDENCE_BLOCKED_SETTLEMENT_CLOSE_UNCLEAR,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,STATISTICS_OR_OFFICIAL_SETTLEMENT_SOURCE_NOT_EXECUTED_OR_POLICY_DECIDED
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,MYM,continuous availability,Databento standards/conventions and continuous futures example,EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,MYM,symbol syntax,Databento continuous symbology format [ROOT].[ROLL_RULE].[RANK],EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,MYM,adjustment policy,"Databento continuous docs state continuous prices are original/unadjusted, not back-adjusted",EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,MYM,roll rule,Databento continuous docs identify calendar/open-interest/volume roll-rule codes c/n/v,EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,MYM,lineage,Databento docs say continuous maps to a tradable instrument by date; no local continuous-row-to-dated-row lineage artifact exists,EVIDENCE_BLOCKED_LINEAGE_UNCLEAR,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,CONTINUOUS_ROW_LINEAGE_LEDGER_NOT_CREATED
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,MYM,ohlcv-1d close/settlement,Databento schema docs describe OHLCV as trade-aggregated bars and statistics as official settlements/open interest,EVIDENCE_BLOCKED_SETTLEMENT_CLOSE_UNCLEAR,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,OHLCV_CLOSE_VERSUS_OFFICIAL_SETTLEMENT_POLICY_NOT_DECIDED
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,MYM,definition metadata,Databento definition docs identify point-in-time instrument definitions with expiration/listing/tick fields,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,FIRST_NOTICE_DELIVERY_AND_PRODUCT_FAMILY_RULEBOOK_FIELDS_NOT_FULLY_LOCKED
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,MYM,condition metadata,Databento portal docs describe condition support files and equivalent metadata dataset-condition endpoint,EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,MYM,settlement source,Databento schema docs identify statistics as official daily instrument statistics including settlement fields,EVIDENCE_BLOCKED_SETTLEMENT_CLOSE_UNCLEAR,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,STATISTICS_OR_OFFICIAL_SETTLEMENT_SOURCE_NOT_EXECUTED_OR_POLICY_DECIDED
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,QM,continuous availability,Databento standards/conventions and continuous futures example,EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,QM,symbol syntax,Databento continuous symbology format [ROOT].[ROLL_RULE].[RANK],EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,QM,adjustment policy,"Databento continuous docs state continuous prices are original/unadjusted, not back-adjusted",EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,QM,roll rule,Databento continuous docs identify calendar/open-interest/volume roll-rule codes c/n/v,EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,QM,lineage,Databento docs say continuous maps to a tradable instrument by date; no local continuous-row-to-dated-row lineage artifact exists,EVIDENCE_BLOCKED_LINEAGE_UNCLEAR,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,CONTINUOUS_ROW_LINEAGE_LEDGER_NOT_CREATED
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,QM,ohlcv-1d close/settlement,Databento schema docs describe OHLCV as trade-aggregated bars and statistics as official settlements/open interest,EVIDENCE_BLOCKED_SETTLEMENT_CLOSE_UNCLEAR,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,OHLCV_CLOSE_VERSUS_OFFICIAL_SETTLEMENT_POLICY_NOT_DECIDED
